Município,Gentílico,População (Último Censo)
Amparo do São Francisco,sergipano/sergipense,2170
Aquidabã,sergipano/sergipense,20131
Aracaju,sergipano/sergipense,602757
Arauá,sergipano/sergipense,10318
Areia Branca,sergipano/sergipense,18081
Barra dos Coqueiros,sergipano/sergipense,41511
Boquim,sergipano/sergipense,24636
Brejo Grande,sergipano/sergipense,7841
Campo do Brito,sergipano/sergipense,18149
Canhoba,sergipano/sergipense,3791
Canindé de São Francisco,sergipano/sergipense,26834
Capela,sergipano/sergipense,31645
Carira,sergipano/sergipense,19939
Carmópolis,sergipano/sergipense,13853
Cedro de São João,sergipano/sergipense,5391
Cristinápolis,sergipano/sergipense,17100
Cumbe,sergipano/sergipense,3824
Divina Pastora,sergipano/sergipense,4340
Estância,sergipano/sergipense,65078
Feira Nova,sergipano/sergipense,5975
Frei Paulo,sergipano/sergipense,14530
Gararu,sergipano/sergipense,11096
General Maynard,sergipano/sergipense,3037
Gracho Cardoso,sergipano/sergipense,5834
Ilha das Flores,sergipano/sergipense,8321
Indiaroba,sergipano/sergipense,16549
Itabaiana,sergipano/sergipense,103440
Itabaianinha,sergipano/sergipense,40678
Itabi,sergipano/sergipense,4745
Itaporanga d'Ajuda,sergipano/sergipense,34411
Japaratuba,sergipano/sergipense,16209
Japoatã,sergipano/sergipense,13407
Lagarto,sergipano/sergipense,101579
Laranjeiras,sergipano/sergipense,23975
Macambira,sergipano/sergipense,6838
Malhada dos Bois,sergipano/sergipense,3579
Malhador,sergipano/sergipense,11533
Maruim,sergipano/sergipense,15719
Moita Bonita,sergipano/sergipense,11050
Monte Alegre de Sergipe,sergipano/sergipense,14336
Muribeca,sergipano/sergipense,7822
Neópolis,sergipano/sergipense,16426
Nossa Senhora Aparecida,sergipano/sergipense,9232
Nossa Senhora da Glória,sergipano/sergipense,41212
Nossa Senhora das Dores,sergipano/sergipense,24996
Nossa Senhora de Lourdes,sergipano/sergipense,6268
Nossa Senhora do Socorro,sergipano/sergipense,192330
Pacatuba,sergipano/sergipense,12502
Pedra Mole,sergipano/sergipense,2778
Pedrinhas,sergipano/sergipense,7396
Pinhão,sergipano/sergipense,5677
Pirambu,sergipano/sergipense,7913
Poço Redondo,sergipano/sergipense,33439
Poço Verde,sergipano/sergipense,21794
Porto da Folha,sergipano/sergipense,26576
Propriá,sergipano/sergipense,26618
Riachão do Dantas,sergipano/sergipense,18313
Riachuelo,sergipano/sergipense,8748
Ribeirópolis,sergipano/sergipense,17033
Rosário do Catete,sergipano/sergipense,9295
Salgado,sergipano/sergipense,20279
Santa Luzia do Itanhys,sergipano/sergipense,13616
Santa Rosa de Lima,sergipano/sergipense,3937
Santana do São Francisco,sergipano/sergipense,7346
Santo Amaro das Brotas,sergipano/sergipense,11092
São Cristóvão,sergipano/sergipense,95612
São Domingos,sergipano/sergipense,10327
São Francisco,sergipano/sergipense,3243
São Miguel do Aleixo,sergipano/sergipense,3434
Simão Dias,sergipano/sergipense,42578
Siriri,sergipano/sergipense,7834
Telha,sergipano/sergipense,3274
Tobias Barreto,sergipano/sergipense,50905
Tomar do Geru,sergipano/sergipense,12012
Umbaúba,sergipano/sergipense,23917
